"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"almond butter, creamy";"almond butter, creamy";42.46125;1.383875;0;0;0.196275;0.76;0.08375;0.0915515126626344
"almond milk, refrigerated, unsweetened";"almond milk, refrigerated, unsweetened";0;0.0425;0.0833333333333333;0;0.00125;0.01875;0;0.0204081632653061
"almond milk, unsweetened, plain, refrigerated";"almond milk, unsweetened, plain, refrigerated";0;0.0425;0.08333;0;0.00125;0.01875;0;0.0204081632653061
"almond milk, unsweetened, plain, shelf stable";"almond milk, unsweetened, plain, shelf stable";0;0;0.0333894444444444;0;0;0;0;0
"almonds dry roasted salted";"almonds dry roasted salted";35.125;0;1.57375;0;0;0;0;0
"almonds, dry roasted, salted ";"almonds, dry roasted, salted ";0;0;0;0;0;0;0.075;0
"amino acids, cheese, dry white, queso seco, mixed composite";"amino acids, cheese, dry white, queso seco, mixed composite";0;1.17;0;0;0.31;1.275;0;0.126798260287722
"amino acids, chicken, dark meat, lean only, drumstick, raw, non";"amino acids, chicken, dark meat, lean only, drumstick, raw, non";0;0.7525;0;0;0.2125;0.705;0;0.145805764929778
"amino acids, chicken, dark meat, lean only, thigh, raw, non";"amino acids, chicken, dark meat, lean only, thigh, raw, non";0;0.77;0;0;0.2175;0.7275;0;0.145230147365909
"amino acids, chicken, skin, raw, from drumsticks and thighs, non";"amino acids, chicken, skin, raw, from drumsticks and thighs, non";0;0.2925;0;0;0.0475;0.2275;0;0.0913639403511768
"amino acids, greek yogurt, chobani plain non";"amino acids, greek yogurt, chobani plain non";0;0.49;0;0;0.13;0.49;0;0.13265306122449
"amino acids, greek yogurt, dannon oikos plain non";"amino acids, greek yogurt, dannon oikos plain non";0;0.53;0;0;0.14;0.52;0;0.133333333333333
"amino acids, greek yogurt, fage plain nonfat";"amino acids, greek yogurt, fage plain nonfat";0;0.52;0;0;0.13;0.52;0;0.125
"amino acids, ground turkey, ";"amino acids, ground turkey, ";0;0.71;0;0;0.21;0.64;0;0.155555555555556
"amino acids, pollock, raw";"amino acids, pollock, raw";0;0.51;0;0;0.18;0.49;0;0.18
"amino acids, pupusas, bean, flat stuffed corn biscuit";"amino acids, pupusas, bean, flat stuffed corn biscuit";0;0.3;0;0;0.0566666666666667;0.143333333333333;0;0.127605244996549
"amino acids, sweet and sour pork, chinese restaurant";"amino acids, sweet and sour pork, chinese restaurant";0;0.343333333333333;0;0;0.101666666666667;0.253333333333333;0;0.171001884739931
"amino acids, tamale, pork";"amino acids, tamale, pork";0;0.235;0;0;0.06;0.17;0;0.144132653061224
"apple juice from concentrate with added vitamin c, shelf stable";"apple juice from concentrate with added vitamin c, shelf stable";3.0875;0;0;0;0;0;0.013875;0
"apple juice, with added vitamin c, from concentrate, shelf stable";"apple juice, with added vitamin c, from concentrate, shelf stable";3.088;0;0;10.295;0;0;0.01388;0
"apples, fuji";"apples, fuji";0;0;0.0675;0;0;0;0.0355;0
"apples, fuji, with skin, raw";"apples, fuji, with skin, raw";0;0;0.067625;6.483;0;0;0.03557875;0
"apples, gala";"apples, gala";0;0;0.06875;0;0;0;0.03175;0
"apples, gala, with skin, raw";"apples, gala, with skin, raw";0.609375;0;0.0688125;5.78375;0;0;0.0318125;0
"apples, granny smith";"apples, granny smith";0;0;0.075;0;0;0;0.027875;0
"apples, granny smith, with skin, raw";"apples, granny smith, with skin, raw";0;0;0.075;5.28775;0;0;0.0279075;0
"apples, honeycrisp";"apples, honeycrisp";0;0;0.07375;0;0;0;0.03275;0
"apples, honeycrisp, with skin, raw";"apples, honeycrisp, with skin, raw";0;0;0.0738125;6.017;0;0;0.0328125;0
"apples, red delicious";"apples, red delicious";0;0;0.06625;0;0;0;0.021375;0
"apples, red delicious, with skin, raw";"apples, red delicious, with skin, raw";0;0;0.0661875;5.83025;0;0;0.02123375;0
"applesauce, unsweetened, with added vitamin c";"applesauce, unsweetened, with added vitamin c";0;0;0;9.663;0;0;0;0
"b";"b";0;0;0.25125;0;0;0;0.6673125;0
"bananas, overripe";"bananas, overripe";24.6666666666667;0;0;0;0;0;0.2335;0
"bananas, overripe, raw";"bananas, overripe, raw";25;0;0;15.8;0;0;0.234;0
"bananas, ripe";"bananas, ripe";15.3333333333333;0;0;0;0;0;0.207333333333333;0
"bananas, ripe and slightly ripe, raw";"bananas, ripe and slightly ripe, raw";14;0;0;15.8;0;0;0.209;0
"bananas, slightly ripe";"bananas, slightly ripe";12.3333333333333;0;0;0;0;0;0.2105;0
"beans, snap, green, canned, regular pack, drained solids";"beans, snap, green, canned, regular pack, drained solids";0;0;0;1.29;0;0;0;0
"beef breakfast sausage, banquet brown n serve sausage links";"beef breakfast sausage, banquet brown n serve sausage links";0;0.6;0.12;0;0.12;0.39;0.1395;0.121212121212121
"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";"beef breakfast sausage, banquet brown n serve sausage links, maple flavor";0;0;0.17;0;0;0;0.159;0
"beef breakfast sausage, eckrich sausage links";"beef breakfast sausage, eckrich sausage links";0;0;0.125;0;0;0;0.1565;0
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to ";0;0;0.4;0;0;0;0.67;0
"beef, loin, top loin steak, boneless, lip";"beef, loin, top loin steak, boneless, lip";0;0;0.202;0;0;0;0.575;0
