"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"almond butter, creamy";"almond butter, creamy";10.6153125;21.2250766871166;0;0;74.9141221374046;404.255319148936;6.44230769230769;36.6206050650537
"almond milk, refrigerated, unsweetened";"almond milk, refrigerated, unsweetened";0;0.651840490797546;6.41025641025641;0;0.477099236641221;9.97340425531915;0;8.16326530612245
"almond milk, unsweetened, plain, refrigerated";"almond milk, unsweetened, plain, refrigerated";0;0.651840490797546;6.41;0;0.477099236641221;9.97340425531915;0;8.16326530612245
"almond milk, unsweetened, plain, shelf stable";"almond milk, unsweetened, plain, shelf stable";0;0;2.5684188034188;0;0;0;0;0
"almonds dry roasted salted";"almonds dry roasted salted";8.78125;0;121.057692307692;0;0;0;0;0
"almonds, dry roasted, salted ";"almonds, dry roasted, salted ";0;0;0;0;0;0;5.76923076923077;0
"amino acids, cheese, dry white, queso seco, mixed composite";"amino acids, cheese, dry white, queso seco, mixed composite";0;17.9447852760736;0;0;118.320610687023;678.191489361702;0;50.7193041150887
"amino acids, chicken, dark meat, lean only, drumstick, raw, non";"amino acids, chicken, dark meat, lean only, drumstick, raw, non";0;11.5414110429448;0;0;81.1068702290076;375;0;58.3223059719111
"amino acids, chicken, dark meat, lean only, thigh, raw, non";"amino acids, chicken, dark meat, lean only, thigh, raw, non";0;11.8098159509202;0;0;83.0152671755725;386.968085106383;0;58.0920589463636
"amino acids, chicken, skin, raw, from drumsticks and thighs, non";"amino acids, chicken, skin, raw, from drumsticks and thighs, non";0;4.48619631901841;0;0;18.1297709923664;121.010638297872;0;36.5455761404707
"amino acids, greek yogurt, chobani plain non";"amino acids, greek yogurt, chobani plain non";0;7.51533742331288;0;0;49.618320610687;260.63829787234;0;53.0612244897959
"amino acids, greek yogurt, dannon oikos plain non";"amino acids, greek yogurt, dannon oikos plain non";0;8.12883435582822;0;0;53.4351145038168;276.595744680851;0;53.3333333333333
"amino acids, greek yogurt, fage plain nonfat";"amino acids, greek yogurt, fage plain nonfat";0;7.97546012269939;0;0;49.618320610687;276.595744680851;0;50
"amino acids, ground turkey, ";"amino acids, ground turkey, ";0;10.8895705521472;0;0;80.1526717557252;340.425531914894;0;62.2222222222222
"amino acids, pollock, raw";"amino acids, pollock, raw";0;7.82208588957055;0;0;68.7022900763359;260.63829787234;0;72
"amino acids, pupusas, bean, flat stuffed corn biscuit";"amino acids, pupusas, bean, flat stuffed corn biscuit";0;4.60122699386503;0;0;21.6284987277354;76.2411347517731;0;51.0420979986197
